code,name,type,icao_state,country,iso2,eurocontrol_member,eurocontrol_entry,fab,min_fl,max_fl,airac_cfmu,source_features
UGGGFIR,TIBILISI FIR,FIR,UG,Georgia,GE,true,2014-01-01,,0,195,524,1
UGGGUIR,TIBILISI UIR,UIR,UG,Georgia,GE,true,2014-01-01,,195,999,524,1
UHHHFIR,KHABAROVSK FIR,FIR,UH,,,false,,,0,999,524,1
UHMMFIR,MAGADAN,FIR,UH,,,false,,,0,999,524,1
UIIIFIR,IRKUTSK FIR,FIR,UI,,,false,,,0,999,524,1
UKBVFIR,KIEV FIR,FIR,UK,Ukraine,UA,true,2004-05-01,,0,275,524,1
UKBVUIR,KIEV UIR,UIR,UK,Ukraine,UA,true,2004-05-01,,275,999,524,1
UKDVFIR,DNIPROPETROVSK FIR,FIR,UK,Ukraine,UA,true,2004-05-01,,0,275,524,1
UKFVFIR,SIMFEROPOL FIR,FIR,UK,Ukraine,UA,true,2004-05-01,,0,275,524,1
UKLVFIR,LVOV FIR,FIR,UK,Ukraine,UA,true,2004-05-01,,0,275,524,1
UKOVFIR,ODESSA FIR,FIR,UK,Ukraine,UA,true,2004-05-01,,0,275,524,1
ULLLFIR,,FIR,UL,,,false,,,0,999,524,1
UMKKFIR,KALININGRAD FIR,FIR,UM,,,false,,,0,999,524,1
UMMVFIR,MINSK FIR,FIR,UM,,,false,,,0,999,524,1
UNKLFIR,KRASNOYARSK FIR,FIR,UN,,,false,,,0,999,524,1
UNNTFIR,NOVOSIBIRSK FIR,FIR,UN,,,false,,,0,999,524,1
URRVFIR,,FIR,UR,,,false,,,0,999,524,1
USSVFIR,YEKATERINBURG,FIR,US,,,false,,,0,999,524,1
USTVFIR,TYUMEN FIR,FIR,US,,,false,,,0,999,524,1
UTAAFIR,TURKMENISTAN FIR,FIR,UT,,,false,,,0,999,524,1
UTAKFIR,TURKMENBASHI FIR,FIR,UT,,,false,,,0,999,524,1
UTATFIR,DASHOGUZ FIR,FIR,UT,,,false,,,0,999,524,1
UTAVFIR,TURKMENABAT FIR,FIR,UT,,,false,,,0,999,524,1
UTDDFIR,TAJIKISTAN FIR,FIR,UT,,,false,,,0,999,524,1
UTSDFIR,SAMARKAND FIR,FIR,UT,,,false,,,0,510,524,1
UTTRFIR,TASHKENT FIR,FIR,UT,,,false,,,0,510,524,1
UUWVFIR,MOSCOW FIR,FIR,UU,,,false,,,0,999,524,1
UWWWFIR,UWWW SAMARA FIR,FIR,UW,,,false,,,0,999,524,1
VABFFIR,MUMBAI FIR,FIR,VA,,,false,,,0,999,524,1
VCCFFIR,COLOMBO FIR,FIR,VC,,,false,,,0,460,524,1
VDPFFIR,PHNOM PENH FIR,FIR,VD,,,false,,,0,999,524,1
VECFFIR,KOLKATA FIR,FIR,VE,,,false,,,0,999,524,1
VGFRFIR,DHAKA FIR,FIR,VG,,,false,,,0,999,524,1
VHHKFIR,HONG KONG FIR,FIR,VH,,,false,,,0,999,524,1
VIDFFIR,DELHI FIR,FIR,VI,,,false,,,0,999,524,1
VLVTFIR,VIENTIANE FIR,FIR,VL,,,false,,,0,999,524,1
VNSMFIR,KATHMANDU FIR,FIR,VN,,,false,,,0,999,524,1
VOMFFIR,CHENNAI FIR,FIR,VO,,,false,,,0,999,524,1
VRMFFIR,MALE FIR,FIR,VR,,,false,,,0,999,524,1
VTBBFIR,BANGKOK FIR,FIR,VT,,,false,,,0,999,524,1
VVTSFIR,HO CHI MINH FIR,FIR,VV,,,false,,,0,999,524,1
VVVVFIR,V W A REGION,FIR,VV,,,false,,,0,999,524,1
VYYFFIR,YANGON FIR,FIR,VY,,,false,,,0,999,524,1
